# LAMMPS data file written by OVITO Pro 3.7.10
432 atoms
2 atom types
0.0 16.51501 xlo xhi
0.0 16.51501 ylo yhi
0.0 16.51501 zlo zhi

Masses

1 2.014012  #1.00794  # H
2 14.0067  # N

Atoms  # atomic

375 2 10.70952 11.211 4.32895
376 2 11.03016 5.81498 1.2758
377 2 7.95435 6.20457 4.54984
378 2 11.40704 13.84594 6.11447
379 2 5.73749 9.67933 11.54116
380 2 10.21016 9.51231 7.20879
381 2 6.37842 8.35868 7.80198
382 2 7.61883 10.31356 14.96824
383 2 5.89301 6.83402 15.98016
384 2 8.81002 9.89521 10.49853
385 2 4.57633 11.6699 14.19735
386 2 6.60255 0.41863 0.8836
387 2 14.67362 15.25405 8.59226
388 2 11.43023 14.53517 2.92055
389 2 8.29068 13.65488 4.20449
390 2 6.73483 4.12936 6.77165
391 2 7.00742 14.66692 9.18108
392 2 14.3143 15.10046 12.73138
393 2 7.47201 12.81666 12.00151
394 2 9.5753 2.17935 13.52146
395 2 8.97949 14.32678 14.71701
396 2 14.34467 12.98211 3.93277
397 2 11.93551 15.59349 14.86872
398 2 15.88047 3.01067 4.67008
399 2 0.5991 3.28883 7.44314
400 2 2.33222 0.37405 3.73051
401 2 10.2155 3.08346 9.40191
402 2 12.70269 7.03374 8.15398
403 2 12.90299 3.60516 11.31376
404 2 1.94908 16.16456 7.01429
405 2 12.026 2.73837 0.39679
406 2 15.41066 1.13772 14.3524
407 2 11.7408 1.11967 5.67034
408 2 16.16143 3.60591 12.46189
409 2 12.31661 6.26098 14.39115
410 2 13.67832 5.8397 3.51477
411 2 13.94463 9.39286 3.81153
412 2 0.37513 8.09113 2.53385
413 2 11.10341 6.99917 5.30196
414 2 13.2024 11.56484 6.99045
415 2 11.44295 9.42904 13.60493
416 2 16.35158 9.01336 5.84616
417 2 8.90843 6.51563 14.42388
418 2 11.84576 9.0189 0.29643
419 2 0.14505 9.22652 14.6031
420 2 13.65248 7.57637 11.94263
421 2 10.50333 12.64221 0.29839
422 2 9.93528 3.55296 5.73555
423 2 13.72213 1.89029 8.67313
424 2 1.16482 12.12906 3.65502
425 2 9.63959 8.34003 2.48731
426 2 11.6358 16.26578 9.74149
427 2 10.98227 12.73777 12.52274
428 2 15.90059 16.1782 5.04936
429 2 9.90854 13.55849 9.45293
430 2 14.60042 13.73495 0.89951
431 2 13.67978 12.0416 14.55736
432 2 0.77572 12.85491 15.47859
